f,Species,Old Name,Genus,Taxonomic Authority,Trophic Group,a,b,N,r,L.min,L.max,Source species,Citation,LS,TS,Diversity,,,,,
Haemulidae,Plectorhinchus albovittatus,Plectorhinchus albovittatus,Plectorhinchus,(Ruppell 1838),Omnivores,0.0173,3.04,,,,53.5,Plectorhinchus chaetodontoides,Kulbicki et al 2005  listed in Green & Bellwood 39,N,Y,Y,,,,,
Haemulidae,Plectorhinchus flavomaculatus,Plectorhinchus flavomac.,Plectorhinchus,(Cuvier 1830),Omnivores,0.0126,3.079,,,,44,Plectorhinchus lineatus,Kulbicki et al 2005  listed in Green & Bellwood 38,N,Y,Y,,,,,
Haemulidae,Plectorhinchus sordidus,Plectorhinchus sordidus,Plectorhinchus,(Klunzinger 1870),Omnivores,0.297,0.812,,,,,Plectorhinchus sordidus,Fishbase,,,,,,,,
Haemulidae,Plectorhinchus vittatus,Plectorhinchus vittatus,Plectorhinchus,(Linnaeus 1758),Omnivores,0.0126,3.079,22,0.994,19.5,44,Plectorhinchus lineatus,Kulbicki et al 2005  listed in Green & Bellwood 38,N,Y,Y,,,,,
Haemulidae,Plectorhinchus spp.,Plectorhinchus spp.,Plectorhinchus,,Omnivores,0.0197,2.969,,,,,Plectorhinchus spp.,Kulbicki et al 2005  listed in Green & Bellwood 38,N,Y,T,,,,,
Nemipteridae,Scolopsis ghanam,S. ghanam,Scolopsis,(Fabricius 1775),,0.01738,2.98,,,,30,,,N,N,Y,,,,,
Nemipteridae,Scolopsis torquata,S. torquata,Scolopsis,(Cuvier 1830),,0.01585,3.03,,,,25,,,N,N,Y,,,,,
Nemipteridae,Scolopsis frenatus,Scol. frenatus,Scolopsis,(Cuvier 1830),,0.01738,2.98,,,,26,,,N,N,Y,,,,,
Nemipteridae,Scolopsis bimaculatus,Scolopsis bimaculatus ,Scolopsis,Ruppell 1828,,0.01738,2.98,,,,31,,,N,N,Y,,,,,
Lethrinidae,Gnathodentex aurolineatus,Gnathoden. aurolinea,Gnathodentex,(Lacepede 1802),Omnivores,0.018,3.063,53,0.983,8.5,20.5,Gnathodentex aurolineatus,Kulbicki et al 2005  listed in Green & Bellwood 38,N,Y,Y,,,,,
Lethrinidae,Gymnocranius grandoculis,Gymnoc. grandoculis,Gymnocranius,(Valenciennes 1830),Omnivores,0.032,2.885,243,0.995,16,69,Gymnocranius grandoculis,,Y,Y,Y,,,,,
Lethrinidae,Gymnocranius elongatus,Gymnocranius elongatus,Gymnocranius,Senta 1973,Omnivores,0.01778,2.97,,,,35,,,N,Y,Y,,,,,
Lethrinidae,Gymnocranius griseus,Gymnoc. griseus,Gymnocranius,(Temminck & Schlegel 1843),Omnivores,0.0225,3.001,,,,49,Gymnocranius euanus,Kulbicki et al 2005  listed in Green & Bellwood 38,N,Y,Y,,,,,
Lethrinidae,Lethrinus crocineus,L. crocineus,Lethrinus,Smith 1959,Omnivores,0.0187,2.996,,,,69.5,Lethrinus nebulosus,Kulbicki et al 2005  listed in Green & Bellwood 39,N,Y,Y,,,,,
Lethrinidae,Lethrinus erythracanthus,L. erythracanthus,Lethrinus,Valenciennes 1830,Omnivores,0.0201,2.964,,,,62.5,Lethrinus xanthochilus,Kulbicki et al 2005  listed in Green & Bellwood 40,Y,Y,Y,,,,,
Lethrinidae,Lethrinus harak,L. harak,Lethrinus,(Fabricius 1775),Omnivores,0.017,3.042,111,0.997,6,32,Lethrinus harak,Kulbicki et al 2005  listed in Green & Bellwood 41,N,Y,Y,,,,,
Lethrinidae,Lethrinus lentjan,L. lentjan,Lethrinus,(Lacepede 1802),Omnivores,0.0197,2.986,380,0.995,6.5,44.5,Lethrinus lentjan,Kulbicki et al 2005  listed in Green & Bellwood 42,N,Y,Y,,,,,
Lethrinidae,Lethrinus mahsena,L. mahsena,Lethrinus,(Fabricius 1775),Omnivores,0.0165,3.043,119,0.937,12,86,Lethrinus spp.,Kulbicki et al 2005  listed in Green & Bellwood 43,Y,Y,Y,,,,,
Lethrinidae,Lethrinus microdon,L. microdon,Lethrinus,Valenciennes 1830,Omnivores,0.0294,2.851,,,,72.5,Lethrinus olivaceus,Kulbicki et al 2005  listed in Green & Bellwood 44,Y,Y,Y,,,,,
Lethrinidae,Lethrinus nebulosus,L. nebulosus,Lethrinus,(Forsskal 1775),Omnivores,0.0187,2.996,2980,0.996,3.5,69.5,Lethrinus nebulosus,Kulbicki et al 2005  listed in Green & Bellwood 45,Y,Y,Y,,,,,
Lethrinidae,Lethrinus obsoletus,L. obsoletus,Lethrinus,(Forsskal 1775),Omnivores,0.0173,3.026,133,0.992,11,31,Lethrinus obsoletus,Kulbicki et al 2005  listed in Green & Bellwood 46,Y,Y,Y,,,,,
Lethrinidae,Lethrinus olivaceus,L. olivaceus,Lethrinus,Valenciennes 1830,Omnivores,0.0294,2.851,135,0.992,22.5,72.5,Lethrinus olivaceus,Kulbicki et al 2005  listed in Green & Bellwood 47,Y,Y,Y,,,,,
Lethrinidae,Lethrinus sanguineus,L. sanguineus,Lethrinus,(Fabricius 1775),Omnivores,0.01349,3.01,,,,65,,,N,Y,Y,,,,,
Lethrinidae,Lethrinus xanthochilus,L. xanthocheilus,Lethrinus,Klunzinger 1870,Omnivores,0.0201,2.964,59,0.992,22,62.5,Lethrinus xanthochilus,Kulbicki et al 2005  listed in Green & Bellwood 47,Y,Y,Y,,,,,
